Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Mean_accuracy,GrCaus_NG3_L4_SS_L4_Information_accuracy,NormError_SimErr_accuracy,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_accuracy,Coherence_NG3_L4_SS_L4_Mean_p,GrCaus_NG3_L4_SS_L4_Information_p,NormError_SimErr_p,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_p,Coherence_NG3_L4_SS_L4_Mean_conf_min,GrCaus_NG3_L4_SS_L4_Information_conf_min,NormError_SimErr_conf_min,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_min,Coherence_NG3_L4_SS_L4_Mean_conf_max,GrCaus_NG3_L4_SS_L4_Information_conf_max,NormError_SimErr_conf_max,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_max
C,30.0,C_1,30.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
C,30.0,C_1,40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
C,30.0,C_1,50.0,1.0,1.0,1.0,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.653,1.0,1.0,1.0,0.944
C,30.0,C_1,60.0,1.0,1.0,0.866666666667,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.693,0.693,1.0,1.0,0.962,0.962
C,30.0,C_1,70.0,1.0,1.0,0.633333333333,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.439,0.693,1.0,1.0,0.801,0.962
C,30.0,C_1,80.0,0.966666666667,1.0,0.566666666667,0.866666666667,0.0,0.0,0.002,0.0,0.828,0.884,0.374,0.693,0.999,1.0,0.745,0.962
C,30.0,C_1,90.0,0.9,0.933333333333,0.466666666667,0.733333333333,0.0,0.0,0.043,0.0,0.735,0.779,0.283,0.541,0.979,0.992,0.657,0.877
C,30.0,C_1,100.0,0.833333333333,0.833333333333,0.5,0.733333333333,0.0,0.0,0.019,0.0,0.653,0.653,0.313,0.541,0.944,0.944,0.687,0.877
C,30.0,C_1,110.0,0.9,0.8,0.433333333333,0.7,0.0,0.0,0.09,0.0,0.735,0.614,0.255,0.506,0.979,0.923,0.626,0.853
C,30.0,C_1,120.0,0.6,0.566666666667,0.466666666667,0.7,0.001,0.002,0.043,0.0,0.406,0.374,0.283,0.506,0.773,0.745,0.657,0.853
C,40.0,C_1,30.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
C,40.0,C_1,40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
C,40.0,C_1,50.0,1.0,1.0,0.966666666667,0.9,0.0,0.0,0.0,0.0,0.884,0.884,0.828,0.735,1.0,1.0,0.999,0.979
C,40.0,C_1,60.0,1.0,1.0,0.766666666667,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.577,0.779,1.0,1.0,0.901,0.992
C,40.0,C_1,70.0,1.0,1.0,0.7,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.506,0.693,1.0,1.0,0.853,0.962
C,40.0,C_1,80.0,0.966666666667,1.0,0.6,0.9,0.0,0.0,0.001,0.0,0.828,0.884,0.406,0.735,0.999,1.0,0.773,0.979
C,40.0,C_1,90.0,0.9,0.966666666667,0.366666666667,0.766666666667,0.0,0.0,0.276,0.0,0.735,0.828,0.199,0.577,0.979,0.999,0.561,0.901
C,40.0,C_1,100.0,0.833333333333,0.833333333333,0.5,0.8,0.0,0.0,0.019,0.0,0.653,0.653,0.313,0.614,0.944,0.944,0.687,0.923
C,40.0,C_1,110.0,0.866666666667,0.733333333333,0.4,0.733333333333,0.0,0.0,0.166,0.0,0.693,0.541,0.227,0.541,0.962,0.877,0.594,0.877
C,40.0,C_1,120.0,0.566666666667,0.533333333333,0.466666666667,0.7,0.002,0.007,0.043,0.0,0.374,0.343,0.283,0.506,0.745,0.717,0.657,0.853
C,50.0,C_1,30.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
C,50.0,C_1,40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
C,50.0,C_1,50.0,1.0,1.0,0.966666666667,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.828,0.653,1.0,1.0,0.999,0.944
C,50.0,C_1,60.0,1.0,1.0,0.9,0.9,0.0,0.0,0.0,0.0,0.884,0.884,0.735,0.735,1.0,1.0,0.979,0.979
C,50.0,C_1,70.0,1.0,1.0,0.733333333333,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.541,0.653,1.0,1.0,0.877,0.944
C,50.0,C_1,80.0,1.0,1.0,0.6,0.933333333333,0.0,0.0,0.001,0.0,0.884,0.884,0.406,0.779,1.0,1.0,0.773,0.992
C,50.0,C_1,90.0,0.9,0.966666666667,0.4,0.733333333333,0.0,0.0,0.166,0.0,0.735,0.828,0.227,0.541,0.979,0.999,0.594,0.877
C,50.0,C_1,100.0,0.933333333333,0.9,0.533333333333,0.766666666667,0.0,0.0,0.007,0.0,0.779,0.735,0.343,0.577,0.992,0.979,0.717,0.901
C,50.0,C_1,110.0,0.833333333333,0.733333333333,0.4,0.7,0.0,0.0,0.166,0.0,0.653,0.541,0.227,0.506,0.944,0.877,0.594,0.853
C,50.0,C_1,120.0,0.633333333333,0.566666666667,0.466666666667,0.766666666667,0.0,0.002,0.043,0.0,0.439,0.374,0.283,0.577,0.801,0.745,0.657,0.901
C,60.0,C_1,30.0,1.0,1.0,1.0,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.828,1.0,1.0,1.0,0.999
C,60.0,C_1,40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
C,60.0,C_1,50.0,1.0,1.0,0.966666666667,0.8,0.0,0.0,0.0,0.0,0.884,0.884,0.828,0.614,1.0,1.0,0.999,0.923
C,60.0,C_1,60.0,1.0,1.0,0.9,0.9,0.0,0.0,0.0,0.0,0.884,0.884,0.735,0.735,1.0,1.0,0.979,0.979
C,60.0,C_1,70.0,1.0,1.0,0.666666666667,0.9,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.735,1.0,1.0,0.827,0.979
C,60.0,C_1,80.0,1.0,1.0,0.566666666667,0.866666666667,0.0,0.0,0.002,0.0,0.884,0.884,0.374,0.693,1.0,1.0,0.745,0.962
C,60.0,C_1,90.0,0.933333333333,1.0,0.433333333333,0.733333333333,0.0,0.0,0.09,0.0,0.779,0.884,0.255,0.541,0.992,1.0,0.626,0.877
C,60.0,C_1,100.0,0.933333333333,0.9,0.533333333333,0.766666666667,0.0,0.0,0.007,0.0,0.779,0.735,0.343,0.577,0.992,0.979,0.717,0.901
C,60.0,C_1,110.0,0.866666666667,0.733333333333,0.433333333333,0.7,0.0,0.0,0.09,0.0,0.693,0.541,0.255,0.506,0.962,0.877,0.626,0.853
C,60.0,C_1,120.0,0.633333333333,0.566666666667,0.466666666667,0.766666666667,0.0,0.002,0.043,0.0,0.439,0.374,0.283,0.577,0.801,0.745,0.657,0.901
C,70.0,C_1,30.0,1.0,1.0,1.0,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.779,1.0,1.0,1.0,0.992
C,70.0,C_1,40.0,1.0,1.0,1.0,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.828,1.0,1.0,1.0,0.999
C,70.0,C_1,50.0,1.0,1.0,0.933333333333,0.8,0.0,0.0,0.0,0.0,0.884,0.884,0.779,0.614,1.0,1.0,0.992,0.923
C,70.0,C_1,60.0,1.0,1.0,0.9,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.735,0.693,1.0,1.0,0.979,0.962
C,70.0,C_1,70.0,1.0,1.0,0.633333333333,0.8,0.0,0.0,0.0,0.0,0.884,0.884,0.439,0.614,1.0,1.0,0.801,0.923
C,70.0,C_1,80.0,1.0,1.0,0.566666666667,0.833333333333,0.0,0.0,0.002,0.0,0.884,0.884,0.374,0.653,1.0,1.0,0.745,0.944
C,70.0,C_1,90.0,0.933333333333,1.0,0.466666666667,0.733333333333,0.0,0.0,0.043,0.0,0.779,0.884,0.283,0.541,0.992,1.0,0.657,0.877
C,70.0,C_1,100.0,0.933333333333,0.9,0.533333333333,0.733333333333,0.0,0.0,0.007,0.0,0.779,0.735,0.343,0.541,0.992,0.979,0.717,0.877
C,70.0,C_1,110.0,0.866666666667,0.733333333333,0.433333333333,0.7,0.0,0.0,0.09,0.0,0.693,0.541,0.255,0.506,0.962,0.877,0.626,0.853
C,70.0,C_1,120.0,0.633333333333,0.566666666667,0.466666666667,0.766666666667,0.0,0.002,0.043,0.0,0.439,0.374,0.283,0.577,0.801,0.745,0.657,0.901
C,80.0,C_1,30.0,1.0,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.735,1.0,1.0,1.0,0.979
C,80.0,C_1,40.0,1.0,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.735,1.0,1.0,1.0,0.979
C,80.0,C_1,50.0,1.0,1.0,0.966666666667,0.733333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.828,0.541,1.0,1.0,0.999,0.877
